Gene Name	Young -Dox	Young +Dox	Sen -Dox	Sen +Dox
DDX11L1	4.83	2.43	10.17	7.59
LOC100288778	403.23	360.68	318.52	229.79
LOC100288778	403.23	360.68	318.52	229.79
LOC100288778	403.23	360.68	318.52	229.79
FAM138F	0	0	0	0
OR4F5	0	0	0	0
LOC729737	19.32	17.83	24.79	24.93
LOC729737	19.32	17.83	24.79	24.93
LOC100132287	14.49	11.35	15.89	16.26
LOC100132287	14.49	11.35	15.89	16.26
OR4F16	0	0	0	0
OR4F16	0	0	0	0
LOC100133331	21.73	17.83	17.17	8.67
LOC100133331	21.73	17.83	17.17	8.67
LOC100133331	21.73	17.83	17.17	8.67
LOC100133331	21.73	17.83	17.17	8.67
LOC100133331	21.73	17.83	17.17	8.67
LOC100133331	21.73	17.83	17.17	8.67
LOC100288069	1.61	4.86	4.45	4.34
LOC643837	86.92	85.1	87.73	102.97
LOC643837	86.92	85.1	87.73	102.97
FAM41C	4.83	8.92	3.18	7.59
LOC100130417	24.15	35.66	33.06	58.53
SAMD11	182.7	218.03	160.85	405.39
SAMD11	182.7	218.03	160.85	405.39
SAMD11	182.7	218.03	160.85	405.39
KLHL17	252.72	190.47	198.36	146.33
PLEKHN1	20.93	20.26	33.06	29.27
C1orf170	4.83	11.35	13.35	14.09
HES4	194.78	162.1	193.91	155
ISG15	400.01	343.66	503.52	423.81
AGRN	4740.6	4444.02	4278.66	4799.6
AGRN	4740.6	4444.02	4278.66	4799.6
AGRN	4740.6	4444.02	4278.66	4799.6
C1orf159	183.51	139.41	188.18	111.64
C1orf159	183.51	139.41	188.18	111.64
LOC254099	0	0	1.27	2.17
TTLL10	0.8	1.62	17.17	4.34
TTLL10	0.8	1.62	17.17	4.34
TNFRSF18	0	2.43	5.09	2.17
TNFRSF4	2.41	0.81	1.91	0
SDF4	5315.27	5787.04	5558.44	4548.13
B3GALT6	724.37	885.08	698.7	751.16
FAM132A	17.71	11.35	10.17	5.42
UBE2J2	775.88	885.08	687.25	661.19
SCNN1D	96.58	72.95	68.03	41.19
ACAP3	1407.69	1043.13	1087.15	739.23
ACAP3	1407.69	1043.13	1087.15	739.23
CPSF3L	971.46	971.8	831.57	623.25
CPSF3L	971.46	971.8	831.57	623.25
CPSF3L	971.46	971.8	831.57	623.25
GLTPD1	288.14	331.5	241.59	274.23
DVL1	800.83	714.87	628.13	576.65
DVL1	800.83	714.87	628.13	576.65
MXRA8	5507.63	5734.36	4688.08	4023.51
MXRA8	5507.63	5734.36	4688.08	4023.51
AURKAIP1	499.01	487.93	499.71	397.8
CCNL2	88.53	86.72	81.38	101.89
CCNL2	88.53	86.72	81.38	101.89
LOC148413	140.04	140.22	109.35	111.64
LOC148413	140.04	140.22	109.35	111.64
LOC148413	140.04	140.22	109.35	111.64
LOC148413	140.04	140.22	109.35	111.64
LOC148413	140.04	140.22	109.35	111.64
ANKRD65	8.05	8.92	6.99	4.34
VWA1	75.66	68.08	59.76	6.5
ATAD3C	31.39	24.32	33.7	20.59
ATAD3B	268.02	214.79	218.7	152.83
ATAD3A	568.23	467.66	448.21	321.92
ATAD3A	568.23	467.66	448.21	321.92
TMEM240	167.41	127.25	106.81	49.86
SSU72	1482.54	1488.1	1398.67	1378.75
C1orf233	851.54	635.44	825.85	651.44
MIB2	1177.5	1107.16	1087.78	822.7
MIB2	1177.5	1107.16	1087.78	822.7
MMP23A	24.15	27.56	13.99	11.92
MMP23A	24.15	27.56	13.99	11.92
MMP23A	24.15	27.56	13.99	11.92
SLC35E2B	1794.83	1903.08	1696.2	1464.38
SLC35E2B	1794.83	1903.08	1696.2	1464.38
SLC35E2B	1794.83	1903.08	1696.2	1464.38
SLC35E2B	1794.83	1903.08	1696.2	1464.38
SLC35E2B	1794.83	1903.08	1696.2	1464.38
SLC35E2B	1794.83	1903.08	1696.2	1464.38
SLC35E2	800.03	807.27	770.54	597.24
SLC35E2	800.03	807.27	770.54	597.24
NADK	725.98	890.75	759.73	762
NADK	725.98	890.75	759.73	762
GNB1	3468.12	3522.47	3118.4	5264.6
GNB1	3468.12	3522.47	3118.4	5264.6
CALML6	8.05	3.24	3.81	2.17
TMEM52	1.61	3.24	3.18	1.08
TMEM52	1.61	3.24	3.18	1.08
KIAA1751	0	4.05	6.99	4.34
GABRD	1.61	0	0.64	2.17
GABRD	1.61	0	0.64	2.17
PRKCZ	160.97	201.82	242.86	148.5
PRKCZ	160.97	201.82	242.86	148.5
PRKCZ	160.97	201.82	242.86	148.5
PRKCZ	160.97	201.82	242.86	148.5
PRKCZ	160.97	201.82	242.86	148.5
C1orf86	725.98	792.68	633.85	588.57
SKI	2026.63	1897.4	1385.32	1794.97
LOC100129534	125.56	116.71	140.5	176.68
LOC100129534	125.56	116.71	140.5	176.68
PEX10	598.01	659.75	563.28	532.2
PEX10	598.01	659.75	563.28	532.2
PLCH2	6.44	2.43	5.09	5.42
PANK4	205.24	267.47	192	211.36
HES5	0	0	0	0
LOC115110	0.8	2.43	1.27	1.08
LOC115110	0.8	2.43	1.27	1.08
LOC115110	0.8	2.43	1.27	1.08
TNFRSF14	68.41	44.58	48.95	21.68
MMEL1	145.68	146.7	138.6	78.04
MMEL1	145.68	146.7	138.6	78.04
ACTRT2	0	0	0.64	0
FLJ42875	2.41	3.24	6.36	1.08
FLJ42875	2.41	3.24	3.81	0
MIR4251	24.15	10.54	155.13	7.59
MIR4251	24.15	10.54	155.13	7.59
ARHGEF16	5.63	8.92	50.22	120.32
MIR551A	3517.22	4309.48	4190.92	11741.02
TPRG1L	1220.97	1026.11	1157.08	1301.79
WRAP73	156.95	158.86	153.85	98.64
TP73	6.44	8.92	15.89	7.59
TP73	6.44	8.92	15.89	7.59
TP73	6.44	8.92	15.89	7.59
TP73	6.44	8.92	15.89	7.59
CCDC27	2.41	5.67	3.18	0
SMIM1	28.17	25.13	17.17	3.25
LRRC47	768.64	769.98	698.7	587.48
CEP104	185.92	188.04	209.8	320.84
